RestaurantID,Brand,CuisineType,Address,City,State,PostalCode,Country,Latitude,Longitude,SourceFile
LOC-003076,Auntie Anne's,Other Fast Food,3301 VETERANS MEMORIAL BLVD,Metairie,LA,70002,US,30.00454,-90.15671,Datafiniti_2018
LOC-003077,Chick-fil-A,Chicken,1128 MANHATTAN BLVD,Harvey,LA,70058,US,29.89727027,-90.06263171,Datafiniti_2018
LOC-003078,Wendy's,Burgers,5701 READ BLVD,New Orleans,LA,70127,US,30.03406,-89.97285,Datafiniti_2018
LOC-003079,Subway,Sandwich,18710 NW 67TH AVE,Hialeah,FL,33015,US,25.94249,-80.30703,Datafiniti_2018
LOC-003080,Wendy's,Burgers,383 E NATIONAL RD,Vandalia,OH,45377,US,39.89166,-84.19253,Datafiniti_2018
LOC-003081,KFC,Chicken,4507 LAKE WORTH RD,Lake Worth,FL,33463,US,26.61898,-80.11514,Datafiniti_2018
LOC-003082,Sonic Drive-In,Burgers,8040 NILES ST,Bakersfield,CA,93306,US,35.37719,-118.91516,Datafiniti_2018
LOC-003083,KFC,Chicken,442 N WEBER RD,Romeoville,IL,60446,US,41.640266,-88.12476,Datafiniti_2018
LOC-003084,Burger King,Burgers,2076 STATE ROUTE 208,Montgomery,NY,12549,US,41.512497,-74.20669,Datafiniti_2018
LOC-003085,Taco Bell,Mexican,330 LARKIN DR,Monroe,NY,10950,US,41.31944386,-74.14818128,Datafiniti_2018
LOC-003086,Quiznos,Other Fast Food,6701 CONVAIR RD STE Y,El Paso,TX,79925,US,31.79896,-106.39493,Datafiniti_2018
LOC-003087,Stoko's,Other Fast Food,6833 LOCH RAVEN BLVD,Towson,MD,21286,US,39.38312,-76.57796,Datafiniti_2018
LOC-003088,Taco Bell,Mexican,420 BALLTOWN RD,Schenectady,NY,12304,US,42.77463,-73.89348,Datafiniti_2018
LOC-003089,Subway,Sandwich,1340 E 71ST ST,Tulsa,OK,74136,US,36.06032,-95.97389,Datafiniti_2018
LOC-003090,KFC,Chicken,4117 N JOSEY LN,Carrollton,TX,75007,US,33.02374752,-96.88556406,Datafiniti_2018
LOC-003091,Taco Bell,Mexican,975 CORNWELL DR,Yukon,OK,73099,US,35.49706,-97.74214,Datafiniti_2018
LOC-003092,Quiznos,Other Fast Food,13710 SW 56TH ST,Miami,FL,33175,US,25.714238,-80.415429,Datafiniti_2018
LOC-003093,Chick-fil-A,Chicken,100 N UNIVERSITY DR,Edmond,OK,73034,US,35.65588,-97.47493,Datafiniti_2018
LOC-003094,McDonald's,Burgers,5852 DENNIS MCCARTHY DR,Lebec,CA,93243,US,34.98445,-118.94793,Datafiniti_2018
LOC-003095,Subway,Sandwich,4925 BOULDER HWY,Las Vegas,NV,89121,US,36.11435,-115.065094,Datafiniti_2018
LOC-003096,KFC,Chicken,4924 BOULDER HWY,Las Vegas,NV,89121,US,36.11447,-115.0665,Datafiniti_2018
